,len_series,L1,MSE,start_1,start_2,start_6,start_12,start_24,vent_L1,vent_MSE,vent_1,vent_2,vent_6,vent_12,vent_24,
0,1,214.03,1770299.56,2.52,3.3,8.74,23.69,39.61,256.45,2261037.5,0.58,1.36,2.91,7.77,18.06,
1,2,13036.34,4964397647.71,2.14,3.11,8.16,22.52,37.86,8131.6,1919503627.64,0.39,0.78,3.11,7.38,17.09,
2,3,165766.93,825713037078.08,1.75,3.3,8.35,23.11,39.03,165030.82,818229847494.23,0.19,0.78,3.11,7.57,17.86,
3,4,11.23,202.33,2.52,3.3,8.74,23.5,39.61,26.09,1356.96,1.17,0.78,3.3,7.77,17.86,57.47
4,5,48.99,34775.47,1.75,3.3,8.35,22.72,38.83,64.65,38035.28,0.39,0.78,3.11,7.57,17.86,
5,10,33731.34,38729932418.56,2.33,3.11,8.16,22.52,38.06,34346.34,40128175129.54,0.19,0.78,3.11,7.57,17.09,
6,15,210.62,2061706.57,1.75,3.3,8.74,23.5,39.42,239.92,2317525.93,0.19,1.36,2.91,7.57,17.86,
