,drop_out,L1,MSE,start_1,start_2,start_6,start_12,start_24,vent_L1,vent_MSE,vent_1,vent_2,vent_6,vent_12,vent_24,
0,0,27.68,925.66,0,0,0,0,49.51,31.76,2293.43,0.39,1.17,13.2,31.26,61.36,
1,0,12.22,228.77,2.33,4.47,13.59,22.33,37.86,30.35,2076.09,2.33,3.5,12.04,16.31,23.69,61.55
2,0,17.19,1659.08,1.36,3.88,11.26,19.81,36.5,30.46,2520.83,2.14,3.69,9.9,15.53,17.67,
3,0,11.29,183.53,1.55,3.3,11.84,22.52,40.58,29.05,1884.63,1.75,2.72,8.54,16.31,20.58,
4,0,11.39,199.29,1.36,3.5,12.04,22.72,39.03,29.82,1981.75,2.14,3.69,8.35,14.56,18.64,
